"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","value","colorPosition"
"","html-keyboard-response","336","567442","0.0-7.0-0.0-1.17-0.17","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">L</p>","null","","","","","","","","",""
"","html-keyboard-response","337","567946","0.0-7.0-0.0-1.17-1.17","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">e</p>","null","","","","","","","","",""
"","html-keyboard-response","338","568448","0.0-7.0-0.0-1.17-2.17","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">y</p>","null","","","","","","","","",""
"","html-keyboard-response","339","568950","0.0-7.0-0.0-1.17-3.17","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","340","569569","0.0-7.0-0.0-1.17-4.17","fudttrkjtv","green","618.1350000005914","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">A</p>","77","RSVPtest","none","new","","true","none","","","none"
"","html-keyboard-response","341","572071","0.0-7.0-0.0-2.17","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","342","573868","0.0-7.0-0.0-0.18","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","343","574369","0.0-7.0-0.0-1.18-0.18","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">v</p>","null","","","","","","","","",""
"","html-keyboard-response","344","574870","0.0-7.0-0.0-1.18-1.18","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">d</p>","null","","","","","","","","",""
"","html-keyboard-response","345","575371","0.0-7.0-0.0-1.18-2.18","fudttrkjtv","green","null","","","","","<p style=""color: red; text-align:center; font-family: BACS2; font-size:1000%;"">x</p>","null","","","","","","","","",""
"","html-keyboard-response","346","575872","0.0-7.0-0.0-1.18-3.18","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","347","576346","0.0-7.0-0.0-1.18-4.18","fudttrkjtv","green","473.2399999992922","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">d</p>","77","RSVPtest","red","2nd","","false","low","","","3rd"
"","html-keyboard-response","348","578848","0.0-7.0-0.0-2.18","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Miss.</p>","null","","","","","","","","",""
