subj_idx,rt,response,tgtPos,rwdType,colMatch
4,0.7556,1,1,2,1
4,0.8982,0,0,1,1
4,0.7879,1,0,2,1
4,0.539,0,0,1,1
4,0.7733,1,1,1,1
4,1.2435,1,0,2,1
4,0.8276,1,1,1,1
4,0.7004,1,1,2,1
4,0.6737,0,0,2,1
4,0.5865,1,0,2,1
4,0.5937,1,0,1,1
4,0.5393,0,1,2,1
4,0.6879,0,0,1,1
4,0.6743,0,1,1,1
4,0.7873,0,0,2,1
4,1.3871,1,0,2,1
4,0.5357,1,0,2,1
4,0.6332,1,1,1,1
4,0.5151,0,0,2,1
4,1.0985,0,1,1,1
4,0.5552,1,1,1,1
4,1.2826,1,0,1,1
4,0.6993,1,1,2,1
4,0.4508,0,0,2,1
4,0.8431,0,1,1,1
4,0.6548,1,1,1,1
5,0.6108,1,1,1,1
5,0.8126,1,1,1,1
5,0.8122,1,0,2,1
5,0.8884,1,0,2,1
5,0.8599,1,0,2,1
5,0.7626,1,0,2,1
5,0.6831,1,1,2,1
5,1.2394,0,1,2,1
5,0.7634,1,1,1,1
5,0.6653,1,1,1,1
5,0.738,1,1,1,1
5,0.3743,0,0,1,1
5,0.459,1,0,2,1
5,0.3549,1,1,1,1
5,1.178,1,1,1,1
5,0.6809,1,1,1,1
5,1.2563,0,0,2,1
5,1.7721,1,1,1,1
5,0.4971,0,0,2,1
5,0.4873,0,0,2,1
5,1.1303,1,0,2,1
5,0.5212,0,0,1,1
5,0.5435,1,0,2,1
5,0.6314,1,0,2,1
5,0.8799,1,0,2,1
5,0.8893,1,0,1,1
5,0.6667,1,0,2,1
5,0.753,1,1,2,1
5,0.9029,1,0,1,1
5,1.5785,0,0,2,1
5,0.415,1,0,1,1
5,0.7985,1,0,2,1
5,2.4895,1,0,2,1
5,1.1809,0,0,2,1
5,0.7063,0,0,1,1
5,0.5114,1,0,1,1
5,1.1188,0,0,1,1
5,0.5915,1,0,1,1
5,0.5869,1,0,2,1
5,0.9594,0,1,2,1
5,0.4501,0,0,1,1
5,0.8575,1,1,1,1
