"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"4","low","3rd","1st","0",0.768,"incongruent"
"4","low","3rd","3rd","1",0.54,"congruent"
"4","low","2nd","1st","0",0.598,"incongruent"
"4","none","3rd","none","1",0.784,"na"
"4","low","1st","1st","1",0.711,"congruent"
"4","low","3rd","1st","1",0.5,"incongruent"
"4","high","2nd","2nd","1",0.533,"congruent"
"4","low","1st","1st","1",1.463,"congruent"
"4","none","3rd","none","1",0.755,"na"
"4","high","3rd","3rd","1",0.899,"congruent"
"4","high","2nd","1st","1",0.862,"incongruent"
"4","high","2nd","2nd","0",0.633,"congruent"
"4","low","2nd","2nd","1",1.083,"congruent"
"4","low","1st","2nd","1",0.807,"incongruent"
"4","high","2nd","3rd","1",0.624,"incongruent"
"4","low","3rd","2nd","1",0.719,"incongruent"
"4","none","2nd","none","1",0.776,"na"
"4","high","3rd","1st","0",0.533,"incongruent"
"4","none","2nd","none","1",0.697,"na"
"4","high","2nd","3rd","0",0.665,"incongruent"
"4","none","3rd","none","1",0.414,"na"
"4","low","1st","3rd","1",0.463,"incongruent"
"4","none","1st","none","1",0.663,"na"
"4","high","3rd","1st","1",0.69,"incongruent"
"4","low","1st","3rd","1",0.928,"incongruent"
"4","high","1st","3rd","0",0.794,"incongruent"
"4","high","2nd","1st","1",0.818,"incongruent"
"4","low","2nd","1st","0",0.463,"incongruent"
"4","low","2nd","3rd","0",0.856,"incongruent"
"4","low","3rd","1st","1",0.375,"incongruent"
"4","high","2nd","2nd","0",0.915,"congruent"
"4","none","1st","none","0",0.674,"na"
"4","high","1st","3rd","0",0.888,"incongruent"
"4","low","1st","3rd","1",0.606,"incongruent"
"4","none","2nd","none","1",0.903,"na"
"4","none","1st","none","0",1.005,"na"
"4","high","2nd","1st","0",0.731,"incongruent"
"4","high","3rd","1st","1",0.768,"incongruent"
"4","low","1st","2nd","1",0.493,"incongruent"
"4","high","3rd","2nd","1",0.737,"incongruent"
"4","none","3rd","none","1",0.778,"na"
"4","high","1st","2nd","0",1.087,"incongruent"
"4","low","3rd","2nd","1",1.016,"incongruent"
